"Year","fuel","scenario","value"
2022,"Coal","Reference case MMmt CO2",1087.352661
2021,"Coal","Reference case MMmt CO2",1098.615479
2020,"Coal","Reference case MMmt CO2",1138.135742
2019,"Coal","Reference case MMmt CO2",1202.883789
2018,"Coal","Reference case MMmt CO2",1257.848145
2017,"Coal","Reference case MMmt CO2",1318.306152
2050,"Coal","High economic growth MMmt CO2",1048.400146
2049,"Coal","High economic growth MMmt CO2",1049.107178
2048,"Coal","High economic growth MMmt CO2",1049.13562
2047,"Coal","High economic growth MMmt CO2",1045.623291
2046,"Coal","High economic growth MMmt CO2",1041.714111
2045,"Coal","High economic growth MMmt CO2",1044.540649
2044,"Coal","High economic growth MMmt CO2",1041.327271
2043,"Coal","High economic growth MMmt CO2",1038.340576
2042,"Coal","High economic growth MMmt CO2",1043.144775
2041,"Coal","High economic growth MMmt CO2",1037.825806
2040,"Coal","High economic growth MMmt CO2",1040.683594
2039,"Coal","High economic growth MMmt CO2",1044.006958
2038,"Coal","High economic growth MMmt CO2",1044.253784
2037,"Coal","High economic growth MMmt CO2",1041.241089
2036,"Coal","High economic growth MMmt CO2",1039.991211
2035,"Coal","High economic growth MMmt CO2",1040.442749
2034,"Coal","High economic growth MMmt CO2",1040.437988
2033,"Coal","High economic growth MMmt CO2",1039.205811
2032,"Coal","High economic growth MMmt CO2",1060.589355
2031,"Coal","High economic growth MMmt CO2",1068.63147
2030,"Coal","High economic growth MMmt CO2",1084.118652
2029,"Coal","High economic growth MMmt CO2",1058.947876
2028,"Coal","High economic growth MMmt CO2",1056.957275
2027,"Coal","High economic growth MMmt CO2",1061.437012
2026,"Coal","High economic growth MMmt CO2",1068.564575
2025,"Coal","High economic growth MMmt CO2",1091.191772
2024,"Coal","High economic growth MMmt CO2",1094.713013
2023,"Coal","High economic growth MMmt CO2",1086.549438
2022,"Coal","High economic growth MMmt CO2",1089.288452
2021,"Coal","High economic growth MMmt CO2",1098.707397
2020,"Coal","High economic growth MMmt CO2",1135.101685
2019,"Coal","High economic growth MMmt CO2",1201.914062
2018,"Coal","High economic growth MMmt CO2",1261.845703
2017,"Coal","High economic growth MMmt CO2",1318.306152
2050,"Coal","Low economic growth MMmt CO2",960.252197
2049,"Coal","Low economic growth MMmt CO2",960.343201
2048,"Coal","Low economic growth MMmt CO2",959.877747
2047,"Coal","Low economic growth MMmt CO2",960.364136
2046,"Coal","Low economic growth MMmt CO2",959.970093
2045,"Coal","Low economic growth MMmt CO2",960.1604
2044,"Coal","Low economic growth MMmt CO2",955.934143
2043,"Coal","Low economic growth MMmt CO2",957.202148
2042,"Coal","Low economic growth MMmt CO2",957.830994
2041,"Coal","Low economic growth MMmt CO2",962.69104
2040,"Coal","Low economic growth MMmt CO2",965.532104
2039,"Coal","Low economic growth MMmt CO2",966.708496
2038,"Coal","Low economic growth MMmt CO2",966.554016
2037,"Coal","Low economic growth MMmt CO2",967.374268
2036,"Coal","Low economic growth MMmt CO2",972.329651
2035,"Coal","Low economic growth MMmt CO2",972.632324
2034,"Coal","Low economic growth MMmt CO2",979.780334
2033,"Coal","Low economic growth MMmt CO2",988.737122
2032,"Coal","Low economic growth MMmt CO2",994.931335
2031,"Coal","Low economic growth MMmt CO2",1018.113708
2030,"Coal","Low economic growth MMmt CO2",1033.983765
2029,"Coal","Low economic growth MMmt CO2",1032.344238
2028,"Coal","Low economic growth MMmt CO2",1013.175171
2027,"Coal","Low economic growth MMmt CO2",1020.202942
2026,"Coal","Low economic growth MMmt CO2",1043.408081
2025,"Coal","Low economic growth MMmt CO2",1059.702393
2024,"Coal","Low economic growth MMmt CO2",1076.658081
2023,"Coal","Low economic growth MMmt CO2",1071.264526
2022,"Coal","Low economic growth MMmt CO2",1061.357666
2021,"Coal","Low economic growth MMmt CO2",1073.734497
2020,"Coal","Low economic growth MMmt CO2",1125.374146
2019,"Coal","Low economic growth MMmt CO2",1209.258545
2018,"Coal","Low economic growth MMmt CO2",1262.126831
2017,"Coal","Low economic growth MMmt CO2",1318.306152
2050,"Coal","High oil price MMmt CO2",953.93042
2049,"Coal","High oil price MMmt CO2",953.90271
2048,"Coal","High oil price MMmt CO2",952.845886
2047,"Coal","High oil price MMmt CO2",954.127197
2046,"Coal","High oil price MMmt CO2",953.045166
2045,"Coal","High oil price MMmt CO2",952.581177
2044,"Coal","High oil price MMmt CO2",953.234985
2043,"Coal","High oil price MMmt CO2",953.509888
2042,"Coal","High oil price MMmt CO2",957.433899
2041,"Coal","High oil price MMmt CO2",958.648743
2040,"Coal","High oil price MMmt CO2",959.923218
2039,"Coal","High oil price MMmt CO2",954.260742
2038,"Coal","High oil price MMmt CO2",956.205688
2037,"Coal","High oil price MMmt CO2",959.844604
2036,"Coal","High oil price MMmt CO2",960.753906
2035,"Coal","High oil price MMmt CO2",965.664307
2034,"Coal","High oil price MMmt CO2",970.159241
2033,"Coal","High oil price MMmt CO2",969.085815
2032,"Coal","High oil price MMmt CO2",964.44989
2031,"Coal","High oil price MMmt CO2",967.608826
2030,"Coal","High oil price MMmt CO2",969.485718
2029,"Coal","High oil price MMmt CO2",949.918579
2028,"Coal","High oil price MMmt CO2",938.990295
2027,"Coal","High oil price MMmt CO2",933.338257
2026,"Coal","High oil price MMmt CO2",957.871643
2025,"Coal","High oil price MMmt CO2",958.92395
2024,"Coal","High oil price MMmt CO2",969.545288
2023,"Coal","High oil price MMmt CO2",958.505371
2022,"Coal","High oil price MMmt CO2",992.967285
2021,"Coal","High oil price MMmt CO2",1031.723145
2020,"Coal","High oil price MMmt CO2",1116.671875
2019,"Coal","High oil price MMmt CO2",1206.460449
2018,"Coal","High oil price MMmt CO2",1256.218506
2017,"Coal","High oil price MMmt CO2",1318.306152
2050,"Coal","Low oil price MMmt CO2",1050.69751
2049,"Coal","Low oil price MMmt CO2",1051.262573
2048,"Coal","Low oil price MMmt CO2",1051.359009
2047,"Coal","Low oil price MMmt CO2",1053.125732
2046,"Coal","Low oil price MMmt CO2",1054.487793
2045,"Coal","Low oil price MMmt CO2",1053.113525
2044,"Coal","Low oil price MMmt CO2",1050.713501
2043,"Coal","Low oil price MMmt CO2",1050.802734
2042,"Coal","Low oil price MMmt CO2",1052.72522
2041,"Coal","Low oil price MMmt CO2",1054.905518
2040,"Coal","Low oil price MMmt CO2",1058.486938
2039,"Coal","Low oil price MMmt CO2",1058.793701
2038,"Coal","Low oil price MMmt CO2",1059.105591
2037,"Coal","Low oil price MMmt CO2",1058.900513
2036,"Coal","Low oil price MMmt CO2",1057.060547
2035,"Coal","Low oil price MMmt CO2",1057.655273
2034,"Coal","Low oil price MMmt CO2",1062.578125
2033,"Coal","Low oil price MMmt CO2",1059.920288
2032,"Coal","Low oil price MMmt CO2",1071.988159
2031,"Coal","Low oil price MMmt CO2",1078.427246
2030,"Coal","Low oil price MMmt CO2",1093.557739
2029,"Coal","Low oil price MMmt CO2",1067.659058
2028,"Coal","Low oil price MMmt CO2",1080.452759
2027,"Coal","Low oil price MMmt CO2",1089.526978
2026,"Coal","Low oil price MMmt CO2",1097.15979
2025,"Coal","Low oil price MMmt CO2",1114.924194
2024,"Coal","Low oil price MMmt CO2",1115.41748
2023,"Coal","Low oil price MMmt CO2",1126.690796
2022,"Coal","Low oil price MMmt CO2",1118.04895
2021,"Coal","Low oil price MMmt CO2",1119.355469
2020,"Coal","Low oil price MMmt CO2",1135.48291
2019,"Coal","Low oil price MMmt CO2",1201.536011
2018,"Coal","Low oil price MMmt CO2",1257.567871
2017,"Coal","Low oil price MMmt CO2",1318.306152
2050,"Coal","High oil and gas resource and technology MMmt CO2",770.185974
2049,"Coal","High oil and gas resource and technology MMmt CO2",765.759094
2048,"Coal","High oil and gas resource and technology MMmt CO2",765.631836
2047,"Coal","High oil and gas resource and technology MMmt CO2",766.223511
2046,"Coal","High oil and gas resource and technology MMmt CO2",766.027466
2045,"Coal","High oil and gas resource and technology MMmt CO2",763.030151
2044,"Coal","High oil and gas resource and technology MMmt CO2",760.247314
2043,"Coal","High oil and gas resource and technology MMmt CO2",761.908081
2042,"Coal","High oil and gas resource and technology MMmt CO2",762.460449
2041,"Coal","High oil and gas resource and technology MMmt CO2",764.947815
2040,"Coal","High oil and gas resource and technology MMmt CO2",772.620544
2039,"Coal","High oil and gas resource and technology MMmt CO2",781.995972
2038,"Coal","High oil and gas resource and technology MMmt CO2",791.485046
2037,"Coal","High oil and gas resource and technology MMmt CO2",813.940063
2036,"Coal","High oil and gas resource and technology MMmt CO2",819.128113
2035,"Coal","High oil and gas resource and technology MMmt CO2",820.687439
2034,"Coal","High oil and gas resource and technology MMmt CO2",845.943909
2033,"Coal","High oil and gas resource and technology MMmt CO2",849.472656
2032,"Coal","High oil and gas resource and technology MMmt CO2",865.872009
2031,"Coal","High oil and gas resource and technology MMmt CO2",870.000732
2030,"Coal","High oil and gas resource and technology MMmt CO2",888.977905
2029,"Coal","High oil and gas resource and technology MMmt CO2",874.299438
2028,"Coal","High oil and gas resource and technology MMmt CO2",880.141724
2027,"Coal","High oil and gas resource and technology MMmt CO2",918.015076
2026,"Coal","High oil and gas resource and technology MMmt CO2",951.864258
2025,"Coal","High oil and gas resource and technology MMmt CO2",983.897705
2024,"Coal","High oil and gas resource and technology MMmt CO2",1001.930908
2023,"Coal","High oil and gas resource and technology MMmt CO2",984.84198
2022,"Coal","High oil and gas resource and technology MMmt CO2",980.489075
2021,"Coal","High oil and gas resource and technology MMmt CO2",1013.08197
2020,"Coal","High oil and gas resource and technology MMmt CO2",1068.970947
2019,"Coal","High oil and gas resource and technology MMmt CO2",1218.615601
2018,"Coal","High oil and gas resource and technology MMmt CO2",1260.593872
2017,"Coal","High oil and gas resource and technology MMmt CO2",1318.306152
2050,"Coal","Low oil and gas resource and technology MMmt CO2",1219.332764
2049,"Coal","Low oil and gas resource and technology MMmt CO2",1215.517578
2048,"Coal","Low oil and gas resource and technology MMmt CO2",1212.862671
2047,"Coal","Low oil and gas resource and technology MMmt CO2",1210.10437
2046,"Coal","Low oil and gas resource and technology MMmt CO2",1210.08252
2045,"Coal","Low oil and gas resource and technology MMmt CO2",1202.526001
2044,"Coal","Low oil and gas resource and technology MMmt CO2",1202.602783
2043,"Coal","Low oil and gas resource and technology MMmt CO2",1208.757202
2042,"Coal","Low oil and gas resource and technology MMmt CO2",1205.732422
2041,"Coal","Low oil and gas resource and technology MMmt CO2",1210.578735
2040,"Coal","Low oil and gas resource and technology MMmt CO2",1210.412109
2039,"Coal","Low oil and gas resource and technology MMmt CO2",1214.887207
2038,"Coal","Low oil and gas resource and technology MMmt CO2",1218.833984
2037,"Coal","Low oil and gas resource and technology MMmt CO2",1220.433228
2036,"Coal","Low oil and gas resource and technology MMmt CO2",1217.722412
2035,"Coal","Low oil and gas resource and technology MMmt CO2",1218.210205
2034,"Coal","Low oil and gas resource and technology MMmt CO2",1219.510742
2033,"Coal","Low oil and gas resource and technology MMmt CO2",1220.641357
2032,"Coal","Low oil and gas resource and technology MMmt CO2",1218.568726
2031,"Coal","Low oil and gas resource and technology MMmt CO2",1223.28125
2030,"Coal","Low oil and gas resource and technology MMmt CO2",1230.881592
2029,"Coal","Low oil and gas resource and technology MMmt CO2",1230.021973
2028,"Coal","Low oil and gas resource and technology MMmt CO2",1225.01709
2027,"Coal","Low oil and gas resource and technology MMmt CO2",1225.645264
2026,"Coal","Low oil and gas resource and technology MMmt CO2",1226.587646
2025,"Coal","Low oil and gas resource and technology MMmt CO2",1237.763306
2024,"Coal","Low oil and gas resource and technology MMmt CO2",1230.558228
2023,"Coal","Low oil and gas resource and technology MMmt CO2",1206.094482
2022,"Coal","Low oil and gas resource and technology MMmt CO2",1220.413208
2021,"Coal","Low oil and gas resource and technology MMmt CO2",1219.574341
2020,"Coal","Low oil and gas resource and technology MMmt CO2",1222.940186
2019,"Coal","Low oil and gas resource and technology MMmt CO2",1192.708008
2018,"Coal","Low oil and gas resource and technology MMmt CO2",1261.464355
2017,"Coal","Low oil and gas resource and technology MMmt CO2",1318.306152
2050,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1249.79187
2049,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1247.850464
2048,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1239.225464
2047,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1240.501465
2046,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1240.652832
2045,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1247.366333
2044,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1247.288208
2043,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1237.679077
2042,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1238.767212
2041,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1247.425049
2040,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1248.997803
2039,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1253.658447
2038,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1253.348511
2037,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1253.072876
2036,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1254.74353
2035,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1251.829712
2034,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1254.552612
2033,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1256.652466
2032,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1261.057251
2031,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1268.376953
2030,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1278.561523
2029,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1277.212524
2028,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1274.532959
2027,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1280.605469
2026,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1281.907959
2025,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1264.321045
2024,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1249.061157
2023,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1209.751465
2022,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1205.361694
2021,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1241.557373
2020,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1277.052979
2019,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1280.449219
2018,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1333.94165
2017,"Coal","AEO2018 without Clean Power Plan MMmt CO2",1353.415894
2050,"Other","Reference case MMmt CO2",12.930232
2049,"Other","Reference case MMmt CO2",12.902781
2048,"Other","Reference case MMmt CO2",12.847011
2047,"Other","Reference case MMmt CO2",12.831761
2046,"Other","Reference case MMmt CO2",12.813272
2045,"Other","Reference case MMmt CO2",12.793776
2044,"Other","Reference case MMmt CO2",12.772556
2043,"Other","Reference case MMmt CO2",12.75358
2042,"Other","Reference case MMmt CO2",12.731538
2041,"Other","Reference case MMmt CO2",12.707667
2040,"Other","Reference case MMmt CO2",12.683224
2039,"Other","Reference case MMmt CO2",12.656921
2038,"Other","Reference case MMmt CO2",12.626138
2037,"Other","Reference case MMmt CO2",12.593749
2036,"Other","Reference case MMmt CO2",12.558999
2035,"Other","Reference case MMmt CO2",12.486261
2034,"Other","Reference case MMmt CO2",12.428909
2033,"Other","Reference case MMmt CO2",12.368863
2032,"Other","Reference case MMmt CO2",12.312408
2031,"Other","Reference case MMmt CO2",12.245044
2030,"Other","Reference case MMmt CO2",12.17264
2029,"Other","Reference case MMmt CO2",12.104773
2028,"Other","Reference case MMmt CO2",12.044202
2027,"Other","Reference case MMmt CO2",11.989232
2026,"Other","Reference case MMmt CO2",11.930853
2025,"Other","Reference case MMmt CO2",11.882953
2024,"Other","Reference case MMmt CO2",11.831101
2023,"Other","Reference case MMmt CO2",11.784378
2022,"Other","Reference case MMmt CO2",11.742866
2021,"Other","Reference case MMmt CO2",11.708276
2020,"Other","Reference case MMmt CO2",11.686452
2019,"Other","Reference case MMmt CO2",11.667685
2018,"Other","Reference case MMmt CO2",11.663636
2017,"Other","Reference case MMmt CO2",11.650101
2050,"Other","High economic growth MMmt CO2",12.97876
2049,"Other","High economic growth MMmt CO2",12.963119
2048,"Other","High economic growth MMmt CO2",12.943815
2047,"Other","High economic growth MMmt CO2",12.922359
2046,"Other","High economic growth MMmt CO2",12.898773
2045,"Other","High economic growth MMmt CO2",12.871395
2044,"Other","High economic growth MMmt CO2",12.828922
2043,"Other","High economic growth MMmt CO2",12.783563
2042,"Other","High economic growth MMmt CO2",12.758676
2041,"Other","High economic growth MMmt CO2",12.720278
2040,"Other","High economic growth MMmt CO2",12.686168
2039,"Other","High economic growth MMmt CO2",12.64752
2038,"Other","High economic growth MMmt CO2",12.611522
2037,"Other","High economic growth MMmt CO2",12.582199
2036,"Other","High economic growth MMmt CO2",12.552015
2035,"Other","High economic growth MMmt CO2",12.474071
2034,"Other","High economic growth MMmt CO2",12.422574
2033,"Other","High economic growth MMmt CO2",12.367308
2032,"Other","High economic growth MMmt CO2",12.31233
2031,"Other","High economic growth MMmt CO2",12.238607
2030,"Other","High economic growth MMmt CO2",12.181886
2029,"Other","High economic growth MMmt CO2",12.129514
2028,"Other","High economic growth MMmt CO2",12.072953
2027,"Other","High economic growth MMmt CO2",12.008559
2026,"Other","High economic growth MMmt CO2",11.944092
2025,"Other","High economic growth MMmt CO2",11.896182
2024,"Other","High economic growth MMmt CO2",11.843539
2023,"Other","High economic growth MMmt CO2",11.792065
2022,"Other","High economic growth MMmt CO2",11.750564
2021,"Other","High economic growth MMmt CO2",11.708372
2020,"Other","High economic growth MMmt CO2",11.686493
2019,"Other","High economic growth MMmt CO2",11.667687
2018,"Other","High economic growth MMmt CO2",11.663636
2017,"Other","High economic growth MMmt CO2",11.650101
2050,"Other","Low economic growth MMmt CO2",12.848627
2049,"Other","Low economic growth MMmt CO2",12.832898
2048,"Other","Low economic growth MMmt CO2",12.815167
2047,"Other","Low economic growth MMmt CO2",12.801385
2046,"Other","Low economic growth MMmt CO2",12.783274
2045,"Other","Low economic growth MMmt CO2",12.762842
2044,"Other","Low economic growth MMmt CO2",12.739676
2043,"Other","Low economic growth MMmt CO2",12.713384
2042,"Other","Low economic growth MMmt CO2",12.689003
2041,"Other","Low economic growth MMmt CO2",12.660371
2040,"Other","Low economic growth MMmt CO2",12.632328
2039,"Other","Low economic growth MMmt CO2",12.605083
2038,"Other","Low economic growth MMmt CO2",12.57698
2037,"Other","Low economic growth MMmt CO2",12.546503
2036,"Other","Low economic growth MMmt CO2",12.517128
2035,"Other","Low economic growth MMmt CO2",12.448704
2034,"Other","Low economic growth MMmt CO2",12.39823
2033,"Other","Low economic growth MMmt CO2",12.355761
2032,"Other","Low economic growth MMmt CO2",12.287329
2031,"Other","Low economic growth MMmt CO2",12.212469
2030,"Other","Low economic growth MMmt CO2",12.155236
2029,"Other","Low economic growth MMmt CO2",12.091313
2028,"Other","Low economic growth MMmt CO2",12.042455
2027,"Other","Low economic growth MMmt CO2",11.990674
2026,"Other","Low economic growth MMmt CO2",11.940159
2025,"Other","Low economic growth MMmt CO2",11.89751
2024,"Other","Low economic growth MMmt CO2",11.849773
2023,"Other","Low economic growth MMmt CO2",11.791872
2022,"Other","Low economic growth MMmt CO2",11.753592
2021,"Other","Low economic growth MMmt CO2",11.707622
2020,"Other","Low economic growth MMmt CO2",11.686498
2019,"Other","Low economic growth MMmt CO2",11.667685
2018,"Other","Low economic growth MMmt CO2",11.663636
2017,"Other","Low economic growth MMmt CO2",11.650101
2050,"Other","High oil price MMmt CO2",12.981745
2049,"Other","High oil price MMmt CO2",12.969636
2048,"Other","High oil price MMmt CO2",12.960035
2047,"Other","High oil price MMmt CO2",12.949006
2046,"Other","High oil price MMmt CO2",12.921624
2045,"Other","High oil price MMmt CO2",12.878971
2044,"Other","High oil price MMmt CO2",12.853114
2043,"Other","High oil price MMmt CO2",12.825626
2042,"Other","High oil price MMmt CO2",12.786663
2041,"Other","High oil price MMmt CO2",12.719441
2040,"Other","High oil price MMmt CO2",12.689737
2039,"Other","High oil price MMmt CO2",12.658998
2038,"Other","High oil price MMmt CO2",12.631712
2037,"Other","High oil price MMmt CO2",12.602831
2036,"Other","High oil price MMmt CO2",12.574234
2035,"Other","High oil price MMmt CO2",12.501703
2034,"Other","High oil price MMmt CO2",12.451148
2033,"Other","High oil price MMmt CO2",12.398246
2032,"Other","High oil price MMmt CO2",12.335055
2031,"Other","High oil price MMmt CO2",12.268395
2030,"Other","High oil price MMmt CO2",12.193725
2029,"Other","High oil price MMmt CO2",12.137509
2028,"Other","High oil price MMmt CO2",12.061625
2027,"Other","High oil price MMmt CO2",11.995727
2026,"Other","High oil price MMmt CO2",11.932577
2025,"Other","High oil price MMmt CO2",11.884409
2024,"Other","High oil price MMmt CO2",11.835276
2023,"Other","High oil price MMmt CO2",11.789303
2022,"Other","High oil price MMmt CO2",11.750359
2021,"Other","High oil price MMmt CO2",11.708463
2020,"Other","High oil price MMmt CO2",11.686677
2019,"Other","High oil price MMmt CO2",11.667689
2018,"Other","High oil price MMmt CO2",11.663636
2017,"Other","High oil price MMmt CO2",11.650101
2050,"Other","Low oil price MMmt CO2",12.885592
2049,"Other","Low oil price MMmt CO2",12.858191
2048,"Other","Low oil price MMmt CO2",12.836395
2047,"Other","Low oil price MMmt CO2",12.81796
2046,"Other","Low oil price MMmt CO2",12.797835
2045,"Other","Low oil price MMmt CO2",12.776978
2044,"Other","Low oil price MMmt CO2",12.754004
2043,"Other","Low oil price MMmt CO2",12.735917
2042,"Other","Low oil price MMmt CO2",12.713546
2041,"Other","Low oil price MMmt CO2",12.68645
2040,"Other","Low oil price MMmt CO2",12.662352
2039,"Other","Low oil price MMmt CO2",12.641888
2038,"Other","Low oil price MMmt CO2",12.619349
2037,"Other","Low oil price MMmt CO2",12.594382
2036,"Other","Low oil price MMmt CO2",12.559931
2035,"Other","Low oil price MMmt CO2",12.484957
2034,"Other","Low oil price MMmt CO2",12.434028
2033,"Other","Low oil price MMmt CO2",12.372439
2032,"Other","Low oil price MMmt CO2",12.312235
2031,"Other","Low oil price MMmt CO2",12.239991
2030,"Other","Low oil price MMmt CO2",12.167546
2029,"Other","Low oil price MMmt CO2",12.106671
2028,"Other","Low oil price MMmt CO2",12.043139
2027,"Other","Low oil price MMmt CO2",11.990729
2026,"Other","Low oil price MMmt CO2",11.934467
2025,"Other","Low oil price MMmt CO2",11.889629
2024,"Other","Low oil price MMmt CO2",11.838546
2023,"Other","Low oil price MMmt CO2",11.78417
2022,"Other","Low oil price MMmt CO2",11.742892
2021,"Other","Low oil price MMmt CO2",11.708145
2020,"Other","Low oil price MMmt CO2",11.686524
2019,"Other","Low oil price MMmt CO2",11.667685
2018,"Other","Low oil price MMmt CO2",11.663636
2017,"Other","Low oil price MMmt CO2",11.650101
2050,"Other","High oil and gas resource and technology MMmt CO2",12.796398
2049,"Other","High oil and gas resource and technology MMmt CO2",12.780903
2048,"Other","High oil and gas resource and technology MMmt CO2",12.762729
2047,"Other","High oil and gas resource and technology MMmt CO2",12.740596
2046,"Other","High oil and gas resource and technology MMmt CO2",12.718314
2045,"Other","High oil and gas resource and technology MMmt CO2",12.692379
2044,"Other","High oil and gas resource and technology MMmt CO2",12.664506
2043,"Other","High oil and gas resource and technology MMmt CO2",12.63847
2042,"Other","High oil and gas resource and technology MMmt CO2",12.610218
2041,"Other","High oil and gas resource and technology MMmt CO2",12.586205
2040,"Other","High oil and gas resource and technology MMmt CO2",12.560396
2039,"Other","High oil and gas resource and technology MMmt CO2",12.532536
2038,"Other","High oil and gas resource and technology MMmt CO2",12.504617
2037,"Other","High oil and gas resource and technology MMmt CO2",12.470279
2036,"Other","High oil and gas resource and technology MMmt CO2",12.427889
2035,"Other","High oil and gas resource and technology MMmt CO2",12.36473
2034,"Other","High oil and gas resource and technology MMmt CO2",12.319993
2033,"Other","High oil and gas resource and technology MMmt CO2",12.264015
2032,"Other","High oil and gas resource and technology MMmt CO2",12.207733
2031,"Other","High oil and gas resource and technology MMmt CO2",12.162673
2030,"Other","High oil and gas resource and technology MMmt CO2",12.100962
2029,"Other","High oil and gas resource and technology MMmt CO2",12.024593
2028,"Other","High oil and gas resource and technology MMmt CO2",11.967078
2027,"Other","High oil and gas resource and technology MMmt CO2",11.91445
2026,"Other","High oil and gas resource and technology MMmt CO2",11.862185
2025,"Other","High oil and gas resource and technology MMmt CO2",11.820973
2024,"Other","High oil and gas resource and technology MMmt CO2",11.782198
2023,"Other","High oil and gas resource and technology MMmt CO2",11.748579
2022,"Other","High oil and gas resource and technology MMmt CO2",11.728836
2021,"Other","High oil and gas resource and technology MMmt CO2",11.706687
2020,"Other","High oil and gas resource and technology MMmt CO2",11.686609
2019,"Other","High oil and gas resource and technology MMmt CO2",11.66769
2018,"Other","High oil and gas resource and technology MMmt CO2",11.663636
2017,"Other","High oil and gas resource and technology MMmt CO2",11.650101
2050,"Other","Low oil and gas resource and technology MMmt CO2",12.94476
2049,"Other","Low oil and gas resource and technology MMmt CO2",12.936523
2048,"Other","Low oil and gas resource and technology MMmt CO2",12.903981
2047,"Other","Low oil and gas resource and technology MMmt CO2",12.895365
2046,"Other","Low oil and gas resource and technology MMmt CO2",12.87822
2045,"Other","Low oil and gas resource and technology MMmt CO2",12.870604
2044,"Other","Low oil and gas resource and technology MMmt CO2",12.851295
2043,"Other","Low oil and gas resource and technology MMmt CO2",12.83342
2042,"Other","Low oil and gas resource and technology MMmt CO2",12.806714
2041,"Other","Low oil and gas resource and technology MMmt CO2",12.778124
2040,"Other","Low oil and gas resource and technology MMmt CO2",12.743706
2039,"Other","Low oil and gas resource and technology MMmt CO2",12.707322
2038,"Other","Low oil and gas resource and technology MMmt CO2",12.692602
2037,"Other","Low oil and gas resource and technology MMmt CO2",12.673507
2036,"Other","Low oil and gas resource and technology MMmt CO2",12.646888
2035,"Other","Low oil and gas resource and technology MMmt CO2",12.587546
2034,"Other","Low oil and gas resource and technology MMmt CO2",12.503771
2033,"Other","Low oil and gas resource and technology MMmt CO2",12.451894
2032,"Other","Low oil and gas resource and technology MMmt CO2",12.390058
2031,"Other","Low oil and gas resource and technology MMmt CO2",12.310914
2030,"Other","Low oil and gas resource and technology MMmt CO2",12.248055
2029,"Other","Low oil and gas resource and technology MMmt CO2",12.199064
2028,"Other","Low oil and gas resource and technology MMmt CO2",12.149096
2027,"Other","Low oil and gas resource and technology MMmt CO2",12.074965
2026,"Other","Low oil and gas resource and technology MMmt CO2",11.981566
2025,"Other","Low oil and gas resource and technology MMmt CO2",11.936386
2024,"Other","Low oil and gas resource and technology MMmt CO2",11.873916
2023,"Other","Low oil and gas resource and technology MMmt CO2",11.823144
2022,"Other","Low oil and gas resource and technology MMmt CO2",11.756749
2021,"Other","Low oil and gas resource and technology MMmt CO2",11.70752
2020,"Other","Low oil and gas resource and technology MMmt CO2",11.68649
2019,"Other","Low oil and gas resource and technology MMmt CO2",11.667678
2018,"Other","Low oil and gas resource and technology MMmt CO2",11.663636
2017,"Other","Low oil and gas resource and technology MMmt CO2",11.650101
2050,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.759143
2049,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.737444
2048,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.721838
2047,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.694241
2046,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.676505
2045,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.635178
2044,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.600949
2043,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.559289
2042,"Other","AEO2018 without Clean Power Plan MMmt CO2",12.532604
